,black,images,masks
0,0,images/img-Glass003-392-17_lip_roll-0-harties-192-sunglasses.png,masks/img-Glass003-392-17_lip_roll-0-harties-192-sgseg.png
1,1,images/img-Glass005-372-18_grin-3-small_harbor_02-282-sunglasses.png,masks/img-Glass005-372-18_grin-3-small_harbor_02-282-sgseg.png
2,0,images/img-Glass021-408-7_jaw_left-0-sterkspruit_falls-217-sunglasses.png,masks/img-Glass021-408-7_jaw_left-0-sterkspruit_falls-217-sgseg.png
3,0,images/img-Glass002-411-4_brow_lower-3-rooftop_day-048-sunglasses.png,masks/img-Glass002-411-4_brow_lower-3-rooftop_day-048-sgseg.png
4,0,images/img-Glass006-368-16_sadness-3-syferfontein_6d_clear-223-sunglasses.png,masks/img-Glass006-368-16_sadness-3-syferfontein_6d_clear-223-sgseg.png
5,0,images/img-Glass002-432-11_mouth_right-2-studio_small_01-258-sunglasses.png,masks/img-Glass002-432-11_mouth_right-2-studio_small_01-258-sgseg.png
6,0,images/img-Glass001-455-19_cheek_blowing-2-hospital_room-052-sunglasses.png,masks/img-Glass001-455-19_cheek_blowing-2-hospital_room-052-sgseg.png
7,0,images/img-Glass009-374-6_anger-1-photo_studio_01-014-sunglasses.png,masks/img-Glass009-374-6_anger-1-photo_studio_01-014-sgseg.png
8,0,images/img-Glass009-372-18_grin-1-cinema_lobby-050-sunglasses.png,masks/img-Glass009-372-18_grin-1-cinema_lobby-050-sgseg.png
9,0,images/img-Glass005-453-12_dimpler-1-satara_night_no_lamps-345-sunglasses.png,masks/img-Glass005-453-12_dimpler-1-satara_night_no_lamps-345-sgseg.png
10,0,images/img-Glass003-420-7_jaw_left-2-cabin-058-sunglasses.png,masks/img-Glass003-420-7_jaw_left-2-cabin-058-sgseg.png
11,0,images/img-Glass003-430-2_mouth_open-0-beach_parking-237-sunglasses.png,masks/img-Glass003-430-2_mouth_open-0-beach_parking-237-sgseg.png
12,0,images/img-Glass008-438-4_brow_lower-3-cambridge-214-sunglasses.png,masks/img-Glass008-438-4_brow_lower-3-cambridge-214-sgseg.png
13,0,images/img-Glass003-372-10_mouth_left-0-birbeck_street_underpass-169-sunglasses.png,masks/img-Glass003-372-10_mouth_left-0-birbeck_street_underpass-169-sgseg.png
14,0,images/img-Glass008-388-11_mouth_right-0-boiler_room-060-sunglasses.png,masks/img-Glass008-388-11_mouth_right-0-boiler_room-060-sgseg.png
15,1,images/img-Glass006-424-12_dimpler-1-leadenhall_market-032-sunglasses.png,masks/img-Glass006-424-12_dimpler-1-leadenhall_market-032-sgseg.png
16,0,images/img-Glass003-428-9_jaw_forward-3-driving_school-155-sunglasses.png,masks/img-Glass003-428-9_jaw_forward-3-driving_school-155-sgseg.png
17,1,images/img-Glass008-414-7_jaw_left-1-lebombo-224-sunglasses.png,masks/img-Glass008-414-7_jaw_left-1-lebombo-224-sgseg.png
18,0,images/img-Glass005-401-7_jaw_left-2-sabie_tent-255-sunglasses.png,masks/img-Glass005-401-7_jaw_left-2-sabie_tent-255-sgseg.png
19,0,images/img-Glass006-372-2_mouth_open-3-phone_shop-007-sunglasses.png,masks/img-Glass006-372-2_mouth_open-3-phone_shop-007-sgseg.png
20,0,images/img-Glass009-377-16_sadness-3-old_apartments_walkway-212-sunglasses.png,masks/img-Glass009-377-16_sadness-3-old_apartments_walkway-212-sgseg.png
21,1,images/img-Glass001-374-6_anger-1-theater_01-260-sunglasses.png,masks/img-Glass001-374-6_anger-1-theater_01-260-sgseg.png
22,0,images/img-Glass001-376-18_grin-2-blinds-310-sunglasses.png,masks/img-Glass001-376-18_grin-2-blinds-310-sgseg.png
23,0,images/img-Glass021-416-18_grin-0-syferfontein_0d_clear-232-sunglasses.png,masks/img-Glass021-416-18_grin-0-syferfontein_0d_clear-232-sgseg.png
24,0,images/img-Glass006-430-6_anger-0-lenong_2-167-sunglasses.png,masks/img-Glass006-430-6_anger-0-lenong_2-167-sgseg.png
25,1,images/img-Glass021-411-3_smile-2-museumplein-275-sunglasses.png,masks/img-Glass021-411-3_smile-2-museumplein-275-sgseg.png
26,0,images/img-Glass005-430-17_lip_roll-1-studio_small_04-104-sunglasses.png,masks/img-Glass005-430-17_lip_roll-1-studio_small_04-104-sgseg.png
27,0,images/img-Glass002-436-3_smile-2-konzerthaus-085-sunglasses.png,masks/img-Glass002-436-3_smile-2-konzerthaus-085-sgseg.png
28,0,images/img-Glass004-375-11_mouth_right-2-monks_forest-199-sunglasses.png,masks/img-Glass004-375-11_mouth_right-2-monks_forest-199-sgseg.png
29,0,images/img-Glass004-383-20_eye_closed-1-misty_dawn-336-sunglasses.png,masks/img-Glass004-383-20_eye_closed-1-misty_dawn-336-sgseg.png
30,0,images/img-Glass021-438-7_jaw_left-3-kiara_1_dawn-050-sunglasses.png,masks/img-Glass021-438-7_jaw_left-3-kiara_1_dawn-050-sgseg.png
31,0,images/img-Glass004-432-1_neutral-2-straw_rolls_field_01-306-sunglasses.png,masks/img-Glass004-432-1_neutral-2-straw_rolls_field_01-306-sgseg.png
32,0,images/img-Glass001-418-6_anger-1-pedestrian_overpass-212-sunglasses.png,masks/img-Glass001-418-6_anger-1-pedestrian_overpass-212-sgseg.png
33,0,images/img-Glass001-375-12_dimpler-1-hall_of_finfish-301-sunglasses.png,masks/img-Glass001-375-12_dimpler-1-hall_of_finfish-301-sgseg.png
34,0,images/img-Glass008-451-1_neutral-1-storeroom-090-sunglasses.png,masks/img-Glass008-451-1_neutral-1-storeroom-090-sgseg.png
35,0,images/img-Glass003-382-17_lip_roll-3-red_hill_straight-330-sunglasses.png,masks/img-Glass003-382-17_lip_roll-3-red_hill_straight-330-sgseg.png
36,0,images/img-Glass008-402-8_jaw_right-0-canary_wharf-305-sunglasses.png,masks/img-Glass008-402-8_jaw_right-0-canary_wharf-305-sgseg.png
37,0,images/img-Glass007-414-2_mouth_open-2-royal_esplanade-303-sunglasses.png,masks/img-Glass007-414-2_mouth_open-2-royal_esplanade-303-sgseg.png
38,1,images/img-Glass004-420-15_lip_funneler-3-kloppenheim_02-207-sunglasses.png,masks/img-Glass004-420-15_lip_funneler-3-kloppenheim_02-207-sgseg.png
39,0,images/img-Glass003-402-8_jaw_right-0-beach_parking-172-sunglasses.png,masks/img-Glass003-402-8_jaw_right-0-beach_parking-172-sgseg.png
40,1,images/img-Glass006-416-14_lip_puckerer-1-greenwich_park_02-294-sunglasses.png,masks/img-Glass006-416-14_lip_puckerer-1-greenwich_park_02-294-sgseg.png
41,0,images/img-Glass006-426-5_brow_raiser-1-abandoned_hall_01-236-sunglasses.png,masks/img-Glass006-426-5_brow_raiser-1-abandoned_hall_01-236-sgseg.png
42,0,images/img-Glass007-454-12_dimpler-3-mpumalanga_veld-151-sunglasses.png,masks/img-Glass007-454-12_dimpler-3-mpumalanga_veld-151-sgseg.png
43,0,images/img-Glass005-428-3_smile-3-modern_buildings-066-sunglasses.png,masks/img-Glass005-428-3_smile-3-modern_buildings-066-sgseg.png
44,0,images/img-Glass005-393-4_brow_lower-0-green_point_park-235-sunglasses.png,masks/img-Glass005-393-4_brow_lower-0-green_point_park-235-sgseg.png
45,0,images/img-Glass007-437-9_jaw_forward-3-dam_road-205-sunglasses.png,masks/img-Glass007-437-9_jaw_forward-3-dam_road-205-sgseg.png
46,1,images/img-Glass005-380-4_brow_lower-2-sunflowers-277-sunglasses.png,masks/img-Glass005-380-4_brow_lower-2-sunflowers-277-sgseg.png
47,0,images/img-Glass004-418-9_jaw_forward-3-ostrich_road-222-sunglasses.png,masks/img-Glass004-418-9_jaw_forward-3-ostrich_road-222-sgseg.png
48,0,images/img-Glass003-457-18_grin-0-cayley_interior-012-sunglasses.png,masks/img-Glass003-457-18_grin-0-cayley_interior-012-sgseg.png
49,1,images/img-Glass009-383-10_mouth_left-0-symmetrical_garden-038-sunglasses.png,masks/img-Glass009-383-10_mouth_left-0-symmetrical_garden-038-sgseg.png
50,1,images/img-Glass008-424-16_sadness-2-monks_forest-257-sunglasses.png,masks/img-Glass008-424-16_sadness-2-monks_forest-257-sgseg.png
51,0,images/img-Glass007-372-11_mouth_right-1-studio_small_07-080-sunglasses.png,masks/img-Glass007-372-11_mouth_right-1-studio_small_07-080-sgseg.png
52,0,images/img-Glass008-384-1_neutral-2-goegap-353-sunglasses.png,masks/img-Glass008-384-1_neutral-2-goegap-353-sgseg.png
53,1,images/img-Glass005-373-20_eye_closed-3-industrial_pipe_and_valve_01-202-sunglasses.png,masks/img-Glass005-373-20_eye_closed-3-industrial_pipe_and_valve_01-202-sgseg.png
54,0,images/img-Glass008-382-14_lip_puckerer-0-furry_clouds-164-sunglasses.png,masks/img-Glass008-382-14_lip_puckerer-0-furry_clouds-164-sgseg.png
55,1,images/img-Glass002-428-15_lip_funneler-1-mossy_forest-292-sunglasses.png,masks/img-Glass002-428-15_lip_funneler-1-mossy_forest-292-sgseg.png
56,1,images/img-Glass001-410-13_chin_raiser-1-small_cave-293-sunglasses.png,masks/img-Glass001-410-13_chin_raiser-1-small_cave-293-sgseg.png
